type,breed,color,sex,size,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,age
DOG,POODLE MIN/MIX,WHITE,Male,SMALL,A355664,07/17/2017,07/19/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",9
DOG,PIT BULL,BLUE/WHITE,Spayed,LARGE,A367914,08/17/2019,09/18/2019,32,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",8
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A343167,10/04/2016,10/21/2016,17,STRAY,OVER THE COUNTER,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",8
DOG,PIT BULL,BR BRINDLE/WHITE,Spayed,MED,A329370,10/31/2015,11/19/2015,19,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",10
DOG,STAFFORDSHIRE,RED,Female,SMALL,A422210,11/16/2023,11/21/2023,5,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95436.0,"95436(38.47872, -122.890155)",7
DOG,PIT BULL,BROWN/WHITE,Spayed,LARGE,A325080,09/08/2015,10/07/2015,29,STRAY,FIELD,ADOPTION,REFERRAL,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,OUT OF COUNTY,83814.0,"83814(47.675815, -116.771495)",15
DOG,POMERANIAN/SHETLD SHEEPDOG,RED/WHITE,Male,SMALL,A375719,09/01/2018,09/11/2018,10,STRAY,OVER THE COUNTER,TRANSFER,ASWRV,HEALTHY,TREATABLE/REHAB,COUNTY,OUT OF COUNTY,83333.0,"83333(43.52012, -114.312615)",7
DOG,POODLE MIN/MIX,GRAY,Neutered,TOY,A395236,12/27/2019,12/28/2019,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",13
DOG,CHIHUAHUA SH,TAN,Male,TOY,A303475,06/04/2015,06/05/2015,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",13
OTHER,RABBIT SH,BROWN/WHITE,Female,SMALL,A408687,01/04/2022,01/11/2022,7,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",3
CAT,SIAMESE,SEAL PT,Neutered,SMALL,A419617,08/12/2023,08/23/2023,11,STRAY,OVER THE COUNTER,ADOPTION,FINDER,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,94922.0,"94922(38.34708, -122.97113)",3
DOG,CHIHUAHUA SH,BLACK,Spayed,SMALL,A304921,04/03/2014,05/24/2014,51,TRANSFER,PRIV_SHELT,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",15
DOG,CHIHUAHUA SH/PARSON RUSS TER,BLACK,Neutered,TOY,A329283,04/12/2016,05/13/2016,31,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,GREEN DOG,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",10
OTHER,RABBIT SH,WHITE/BROWN,Neutered,SMALL,A346380,12/17/2016,01/14/2017,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",9
CAT,DOMESTIC SH,CALICO/BRN TABBY,Spayed,KITTN,A328632,10/17/2015,10/21/2015,4,STRAY,COMM CAT,RETURN TO OWNER,MEDICAL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",9
DOG,GERM SHEPHERD,TAN/BLACK,Spayed,LARGE,A302846,02/18/2014,02/18/2014,0,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",12
DOG,GERM SHEPHERD,TAN/BLACK,Male,LARGE,A307882,10/25/2014,11/04/2014,10,QUARANTINE,FIELD_RETURN TO OWNER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",11
DOG,SHIH TZU,WHITE/PINK,Spayed,MED,A303654,03/06/2014,03/25/2014,19,STRAY,FIELD,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",12
DOG,SIBERIAN HUSKY,GRAY/WHITE,Male,LARGE,A308763,07/04/2014,07/05/2014,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",11
DOG,CHIHUAHUA SH,TAN,Spayed,TOY,A307182,05/26/2014,06/14/2014,19,CONFISCATE,FLD_CRUEL,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476.0,"95476(38.288405, -122.464525)",12
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,A344644,10/28/2016,11/10/2016,13,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",8
CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,A417183,05/01/2023,05/02/2023,1,STRAY,OVER THE COUNTER,TRANSFER,HSSC,UNTREATABLE,UNTREATABLE,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",0
CAT,DOMESTIC SH,BRN TABBY,Male,SMALL,A360493,08/30/2017,09/05/2017,6,TRANSFER,MUN_SHELT,TRANSFER,FORGOTTEN,UNKNOWN,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",9
DOG,CHIHUAHUA SH,WHITE,Neutered,TOY,A380771,11/21/2018,01/04/2019,44,STRAY,FIELD,TRANSFER,NBAS,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",15
DOG,PIT BULL/LABRADOR RETR,BLACK/WHITE,Neutered,MED,A393448,11/02/2019,12/13/2019,41,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",5
DOG,AMER BULLDOG/MIX,WHITE/BR BRINDLE,Neutered,LARGE,A331512,01/02/2016,01/02/2016,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",15
DOG,PIT BULL/MIX,BLACK/WHITE,Spayed,LARGE,A335252,04/23/2016,04/26/2016,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,COUNTY,94952.0,"94952(38.237, -122.640695)",9
DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,A345566,11/19/2016,12/09/2016,20,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",10
CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,A419382,07/29/2023,08/12/2023,14,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",1
DOG,CHIHUAHUA SH,BROWN,Neutered,SMALL,A416832,04/18/2023,05/06/2023,18,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",6
DOG,PIT BULL/BULLMASTIFF,BL BRINDLE,Neutered,LARGE,A277085,08/14/2018,08/16/2018,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",13
OTHER,RABBIT SH,WHITE/BLACK,Male,SMALL,A416300,03/21/2023,04/21/2023,31,STRAY,OVER THE COUNTER,TRANSFER,RP SHELTER,UNKNOWN,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",2
CAT,DOMESTIC SH,CALICO,Spayed,SMALL,A417441,05/12/2023,05/23/2023,11,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",11
CAT,SIAMESE,LYNX PT,Neutered,SMALL,A318351,03/20/2015,03/27/2015,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",13
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A329931,12/01/2015,12/09/2015,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448.0,"95448(38.613965, -122.869825)",9
DOG,PIT BULL,BLUE,Neutered,LARGE,A383078,06/19/2019,07/23/2019,34,STRAY,PRIV_SHELT,TRANSFER,NBAS,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",7
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,A322468,05/28/2015,06/27/2015,30,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",9
CAT,DOMESTIC SH,BUFF/WHITE,Neutered,KITTN,A328111,10/08/2015,10/17/2015,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",9
DOG,DACHSHUND/PARSON RUSS TER,BROWN,Neutered,MED,A299837,12/31/2013,01/02/2014,2,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94587.0,"94587(37.601825, -122.02358)",12
DOG,SILKY TERRIER,TAN/BLACK,Neutered,TOY,A270700,04/01/2017,04/26/2017,25,STRAY,FIELD,TRANSFER,GREEN DOG,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",14
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,A307034,05/21/2014,06/13/2014,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,*WINDSOR,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",10
DOG,LABRADOR RETR,BLACK,Spayed,LARGE,A334445,04/29/2016,05/17/2016,18,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,PETLUMA PP,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",9
DOG,CHIHUAHUA SH,CHOCOLATE,Neutered,TOY,A322891,06/12/2015,07/18/2015,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436.0,"95436(38.47872, -122.890155)",12
DOG,LABRADOR RETR,BLACK,Neutered,MED,A337351,07/06/2019,07/06/2019,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",9
DOG,GERM SH POINT,WHITE/BROWN,Male,LARGE,A401981,01/05/2021,01/05/2021,0,STRAY,FIELD,RETURN TO OWNER,FLD_LIC,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",7
DOG,SHIH TZU/LHASA APSO,BROWN/WHITE,Spayed,SMALL,A306190,05/04/2014,05/06/2014,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",17
CAT,DOMESTIC SH,ORANGE,Neutered,SMALL,A414308,12/01/2022,12/10/2022,9,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",2
DOG,GREAT PYRENEES,WHITE,Neutered,LARGE,A381938,01/10/2019,01/15/2019,5,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",7
CAT,DOMESTIC SH,LYNX PT,Neutered,KITTN,A376178,09/18/2018,10/02/2018,14,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",6
DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,LARGE,A324968,08/07/2015,09/25/2015,49,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95423.0,"95423(39.0233804, -122.6701214)",15
DOG,PARSON RUSS TER,WHITE,Neutered,SMALL,A416911,10/19/2023,12/13/2023,55,STRAY,OVER THE COUNTER,TRANSFER,DOGWOOD,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",7
CAT,DOMESTIC SH,TORTIE,Female,KITTN,A375789,09/04/2018,09/11/2018,7,STRAY,COMM CAT,TRANSFER,FORGOTTEN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",6
DOG,SHIH TZU,BLACK/WHITE,Neutered,SMALL,A302915,02/19/2014,02/22/2014,3,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",12
DOG,CHIHUAHUA SH,TAN/WHITE,Spayed,SMALL,A362645,10/16/2017,05/18/2018,214,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-V,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",8
DOG,DACHSHUND/MIX,BLACK/TAN,Neutered,SMALL,A363996,11/11/2017,11/29/2017,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",7
DOG,BELG MALINOIS/MIX,BROWN/BLACK,Neutered,LARGE,A391181,09/11/2019,09/11/2019,0,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",6
DOG,PUG,TAN,Neutered,SMALL,A414076,11/09/2022,11/10/2022,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,94952.0,"94952(38.237, -122.640695)",10
DOG,AUST CATTLE DOG/MIX,TAN/WHITE,Spayed,SMALL,A332254,01/20/2016,02/16/2016,27,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",10
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,A312294,09/27/2014,11/19/2014,53,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",10
DOG,BELG MALINOIS,BROWN/BLACK,Male,LARGE,A406145,08/04/2021,10/27/2021,84,STRAY,FIELD,TRANSFER,HSIMC,UNKNOWN,TREATABLE/MANAGEABLE,COUNTY,OUT OF COUNTY,95470.0,"95470(39.29278, -123.21987)",6
CAT,DOMESTIC MH,BUFF/WHITE,Neutered,KITTN,A378590,10/27/2018,11/01/2018,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448.0,"95448(38.613965, -122.869825)",6
DOG,SIBERIAN HUSKY/MIX,BLACK/WHITE,Spayed,PUPPY,A416238,04/21/2023,05/03/2023,12,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,FB SCAS,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",2
CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,A420264,09/12/2023,09/30/2023,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492.0,"95492(38.541355, -122.80026)",1
DOG,LABRADOR RETR/MALTESE,BLACK/TAN,Neutered,MED,A344854,11/08/2016,11/19/2016,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448.0,"95448(38.613965, -122.869825)",8
DOG,CATAHOULA/MIX,WHITE/BROWN,Neutered,X-LRG,A397201,04/21/2020,07/28/2020,98,STRAY,FIELD,TRANSFER,ROCKET DOG,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,OUT OF COUNTY,94146.0,"94146(37.751375, -122.43283)",6
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Neutered,KITTN,A400376,09/11/2020,10/14/2020,33,STRAY,PHONE,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",4
CAT,DOMESTIC SH,ORANGE,Neutered,SMALL,A395352,01/04/2020,01/16/2020,12,STRAY,COMM CAT,RETURN TO OWNER,OVER THE COUNTER_CALL,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",7
DOG,PIT BULL/MIX,BLACK/BROWN,Male,SMALL,A365542,12/15/2017,12/15/2017,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",7
DOG,CHIHUAHUA SH,TAN/WHITE,Neutered,SMALL,A324114,07/07/2015,07/30/2015,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",12
DOG,SHIH TZU,BROWN,Male,SMALL,A352553,06/30/2017,06/30/2017,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404.0,"95404(38.44511, -122.708)",9
DOG,LABRADOR RETR/MIX,BLACK/WHITE,Neutered,MED,A314827,01/24/2015,02/04/2015,11,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*HEALDSBURG,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",10
DOG,BELG MALINOIS,TAN,Neutered,MED,A303677,03/07/2014,03/07/2014,0,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER_FIELD,UNKNOWN,HEALTHY,COUNTY,COUNTY,95403.0,"95403(38.4716444, -122.7398255)",12
CAT,DOMESTIC SH,BLUE CREAM/CALICO,Female,SMALL,A324187,07/10/2015,07/13/2015,3,STRAY,FIELD,TRANSFER,SHELTER,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,COUNTY,95403.0,"95403(38.4716444, -122.7398255)",11
DOG,LABRADOR RETR/POODLE STND,WHITE,Neutered,LARGE,A389667,07/25/2019,07/25/2019,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",13
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A372535,05/15/2018,06/27/2018,43,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,UNTREATABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",6
CAT,DOMESTIC SH,GRAY,Neutered,KITTN,A405641,06/29/2021,07/17/2021,18,STRAY,PHONE,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,COUNTY,COUNTY,95404.0,"95404(38.44511, -122.708)",3
DOG,AUST CATTLE DOG,TAN/BLACK,Unknown,PUPPY,A410247,02/24/2022,02/26/2022,2,STRAY,BORN_HERE,TRANSFER,HDBQ,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,OUT OF COUNTY,94044.0,"94044(37.6361259, -122.4893345)",2
OTHER,RABBIT SH,WHITE/BROWN,Spayed,SMALL,A301936,01/23/2014,02/13/2014,21,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448.0,"95448(38.613965, -122.869825)",11
DOG,BOXER/MIX,TAN,Spayed,MED,A339329,07/07/2016,07/07/2016,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425.0,"95425(38.79895, -123.01762)",16
DOG,PARSON RUSS TER/MIX,WHITE/BLACK,Male,SMALL,A370530,03/30/2018,04/03/2018,4,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,92544.0,"92544(33.74759, -116.950985)",7
DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,A283779,03/30/2016,04/05/2016,6,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",12
CAT,DOMESTIC SH,GRAY,Neutered,SMALL,A320998,04/22/2015,04/24/2015,2,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94061.0,"94061(37.47081, -122.22565)",12
DOG,PARSON RUSS TER,BLACK/WHITE,Spayed,SMALL,A267544,07/03/2016,07/06/2016,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",14
DOG,ROTTWEILER/PIT BULL,TAN/BLACK,Male,MED,A406473,06/25/2022,06/29/2022,4,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",3
CAT,DOMESTIC SH,BLACK,Female,KITTN,A354503,06/27/2017,06/28/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,OUT OF COUNTY,95959.0,"95959(39.2618127, -121.0181126)",7
CAT,DOMESTIC SH,BLK TABBY/WHITE,Neutered,KITTN,A305365,04/15/2014,06/27/2014,73,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95441.0,"95441(38.70854, -122.90737)",10
DOG,LABRADOR RETR/ENG SPRNGR SPAN,WHITE/BLACK,Neutered,MED,A303290,02/26/2014,02/27/2014,1,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,UNKNOWN,HEALTHY,COUNTY,COUNTY,95462.0,"95462(38.46819, -123.01142)",13
CAT,DOMESTIC SH,GRAY,Neutered,KITTN,A373304,06/02/2018,07/06/2018,34,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95446.0,"95446(38.503755, -122.9935)",6
DOG,GERM SHEPHERD,BLACK,Spayed,LARGE,A409382,01/28/2022,05/06/2022,98,STRAY,PHONE,TRANSFER,HSTT,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,96161.0,"96161(39.32157, -120.16881)",3
DOG,BORDER COLLIE/BLACK/TAN HOUND,TRICOLOR,Spayed,LARGE,A307859,06/11/2014,07/05/2014,24,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492.0,"95492(38.541355, -122.80026)",11
CAT,DOMESTIC MH,ORG TABBY,Neutered,SMALL,A413116,09/02/2022,09/02/2022,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",10
CAT,DOMESTIC LH,BLACK,Neutered,SMALL,A319973,04/09/2015,06/10/2015,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",19
DOG,CHIHUAHUA SH/MIX,WHITE/TAN,Male,SMALL,A367547,09/07/2018,09/07/2018,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,UNKNOWN,HEALTHY,*SONOMA,*SONOMA,95476.0,"95476(38.288405, -122.464525)",7
DOG,LABRADOR RETR/MIX,WHITE,Neutered,LARGE,A404386,05/05/2021,05/05/2021,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",7
DOG,ALASKAN HUSKY/GERM SHEPHERD,BLACK/WHITE,Neutered,LARGE,A417707,05/20/2023,05/23/2023,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95436.0,"95436(38.47872, -122.890155)",7
DOG,SIBERIAN HUSKY,BLACK/WHITE,Male,LARGE,A266163,09/30/2014,09/30/2014,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",13
CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A413142,09/03/2022,09/06/2022,3,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",2
